Source,Target,Type,Id,Label,Weight
p247,p555,Undirected,753,,4.0
p324,p576,Undirected,754,,2.0
p357,p441,Undirected,755,,2.0
p368,p498,Undirected,756,,4.0
p377,p534,Undirected,757,,2.0
p413,p465,Undirected,758,,4.0
p446,p582,Undirected,759,,4.0
p479,p514,Undirected,760,,4.0
p484,p118,Undirected,761,,2.0
p492,p521,Undirected,762,,2.0
p506,p541,Undirected,763,,2.0
p517,p537,Undirected,764,,4.0
p564,p245,Undirected,765,,1.0
p566,p115,Undirected,766,,1.0
